354, 333, 386, 359, 1642061692.0, 1.0500045380526415, 0.43496710773102615, 23.400000000000002
373, 354, 411, 388, 1642061694.0, 1.0500025861927613, 0.43496737243929606, 23.400000000000002
379, 368, 416, 402, 1642061695.0, 1.0500016000817338, 0.4349673869837065, 23.5
371, 383, 410, 418, 1642061696.0, 1.0500006139707065, 0.4349671775441962, 23.5
333, 399, 388, 442, 1642061697.0, 1.0499996627662642, 0.4349666888520057, 23.6
265, 422, 334, 468, 1642061698.0, 1.0499987726483455, 0.43496587145613935, 23.700000000000003
152, 445, 245, 498, 1642061699.0, 1.0499979901590644, 0.43496478644312103, 23.900000000000002
351, 598, 543, 694, 1642061790.0, 1.0499950667325673, 0.43496621761310766, 20.900000000000002
557, 527, 690, 600, 1642061791.0, 1.0499958521307307, 0.4349679687601238, 20.700000000000003
661, 475, 752, 531, 1642061792.0, 1.0499967538841775, 0.434969551191979, 20.5
700, 437, 760, 482, 1642061793.0, 1.0499977661751436, 0.43497078164910163, 20.400000000000002
691, 407, 740, 447, 1642061794.0, 1.049998883185865, 0.43497158740943964, 20.5
653, 384, 701, 420, 1642061795.0, 1.050000055465346, 0.43497193356640795, 20.6
607, 368, 651, 396, 1642061796.0, 1.050001233562591, 0.43497192483976166, 20.400000000000002
565, 352, 608, 379, 1642061797.0, 1.0500024291131287, 0.4349717386713081, 20.400000000000002
534, 341, 571, 364, 1642061798.0, 1.0500036101192558, 0.4349715263229158, 20.400000000000002
508, 329, 543, 352, 1642061799.0, 1.0500047794898546, 0.4349713227011697, 20.400000000000002
485, 321, 517, 341, 1642061800.0, 1.0500059459515714, 0.43497111907942365, 20.5
367, 312, 392, 331, 1642062007.0, 1.050007202588633, 0.4349683963657906, 20.400000000000002
378, 319, 403, 338, 1642062008.0, 1.0500062310220157, 0.43496859416977246, 20.400000000000002
388, 325, 416, 347, 1642062009.0, 1.0500052478198705, 0.434968780338226, 20.400000000000002
401, 333, 433, 359, 1642062010.0, 1.0500042704354895, 0.43496894032674077, 20.200000000000003
415, 343, 451, 371, 1642062011.0, 1.0500032901422263, 0.43496914394848685, 20.3
431, 354, 470, 383, 1642062012.0, 1.050002309848963, 0.43496929230147324, 20.3
445, 366, 487, 398, 1642062013.0, 1.0500013470089924, 0.43496933593470455, 20.3
455, 382, 497, 418, 1642062014.0, 1.0500004074400784, 0.43496921085277485, 20.400000000000002
443, 398, 489, 438, 1642062015.0, 1.0499995551376269, 0.43496883269810355, 20.400000000000002
408, 415, 467, 461, 1642062016.0, 1.0499988017371664, 0.4349682567394504, 20.400000000000002
349, 433, 428, 486, 1642062017.0, 1.0499981356031687, 0.434967538245575, 20.400000000000002
273, 451, 369, 509, 1642062018.0, 1.04999758000669, 0.4349667412118832, 20.5
178, 470, 295, 534, 1642062019.0, 1.0499971145855562, 0.43496593254266314, 20.6
86, 485, 217, 552, 1642062020.0, 1.0499967916996447, 0.4349652285931982, 20.6
21, 495, 159, 565, 1642062021.0, 1.0499965968045448, 0.43496479807864935, 20.6
679, 584, 808, 670, 1642062202.0, 1.04999474966442, 0.43497029877467525, 19.5
778, 519, 868, 582, 1642062203.0, 1.0499956194201636, 0.4349718637532379, 19.400000000000002
813, 476, 877, 528, 1642062204.0, 1.0499965560801956, 0.43497296331066665, 19.400000000000002
802, 439, 854, 483, 1642062205.0, 1.049997577097808, 0.4349736905311883, 19.6
762, 412, 814, 451, 1642062206.0, 1.049998647566416, 0.4349740774125058, 19.400000000000002
713, 390, 763, 424, 1642062207.0, 1.049999758759373, 0.43497411231909083, 19.400000000000002
658, 370, 708, 401, 1642062208.0, 1.0500008757700943, 0.43497400178157153, 19.700000000000003
617, 355, 662, 382, 1642062209.0, 1.0500020771383962, 0.4349738563374672, 19.8
582, 343, 622, 367, 1642062210.0, 1.050003252326759, 0.43497366435124946, 19.900000000000002
527, 323, 559, 343, 1642062212.0, 1.0500056143390135, 0.4349732396544648, 20.200000000000003
